Word,International,Regulation,Corporate,Law,Market,Tech
acquire,0.0,0.0,0.0,0.0,1.67,0.0
acquires,0.0,0.0,0.0,0.0,1.5,0.0
add,0.0,0.0,1.5,0.0,0.0,0.0
ai,0.0,0.0,0.0,0.0,1.83,0.0
ambassador,1.5,0.0,0.0,0.0,0.0,0.0
ambition,0.0,0.0,0.0,0.0,0.0,1.53
android,0.0,0.0,1.5,0.0,0.0,1.5
announces,0.0,0.0,0.0,0.0,0.0,1.53
argue,0.0,0.0,1.5,0.0,0.0,0.0
arm,1.5,0.0,0.0,1.5,0.0,0.0
attack,0.0,0.0,0.0,0.0,0.0,1.5
authority,0.0,1.5,0.0,0.0,0.0,0.0
autonomy,0.0,0.0,1.5,0.0,0.0,0.0
back,0.0,0.0,0.0,0.0,0.0,1.5
ban,2.38,1.88,2.5,0.0,0.0,1.69
bank,0.0,1.5,0.0,0.0,0.0,1.5
battery,0.0,0.0,0.0,0.0,0.0,1.55
bitcoin,0.0,0.0,0.0,1.5,0.0,1.53
block,1.5,0.0,0.0,0.0,0.0,0.0
blockchain,0.0,0.0,0.0,0.0,1.5,1.61
boe,0.0,0.0,0.0,0.0,0.0,1.5
break,0.0,0.0,0.0,0.0,0.0,1.5
brother,0.0,0.0,0.0,1.5,0.0,0.0
budget,0.0,1.5,0.0,0.0,0.0,0.0
build,1.5,0.0,1.5,1.5,1.5,0.0
buy,0.0,0.0,0.0,0.0,1.5,0.0
call,0.0,1.65,1.5,0.0,0.0,1.55
canada,1.5,0.0,0.0,0.0,0.0,0.0
cancel,0.0,0.0,0.0,0.0,0.0,1.53
candidate,1.5,0.0,0.0,0.0,0.0,0.0
car,0.0,0.0,0.0,0.0,1.5,0.0
carney,0.0,0.0,0.0,0.0,0.0,1.5
case,0.0,1.65,0.0,1.75,0.0,0.0
ceo,1.62,0.0,1.73,0.0,0.0,0.0
chief,0.0,1.65,0.0,0.0,0.0,0.0
china,2.5,1.58,1.88,0.0,0.0,0.0
chip,0.0,0.0,1.5,0.0,0.0,0.0
clegg,0.0,0.0,1.5,0.0,0.0,0.0
coin,0.0,1.5,0.0,0.0,0.0,0.0
commerce,0.0,0.0,0.0,1.62,0.0,0.0
complaint,0.0,0.0,0.0,1.5,0.0,0.0
concern,0.0,0.0,0.0,0.0,0.0,1.5
congress,0.0,1.5,0.0,0.0,0.0,0.0
consider,0.0,1.5,0.0,0.0,0.0,0.0
contract,0.0,0.0,1.73,0.0,2.0,1.5
contractor,0.0,1.5,0.0,0.0,0.0,0.0
control,0.0,0.0,1.5,0.0,0.0,0.0
cook,1.5,0.0,0.0,0.0,0.0,0.0
cost,1.5,0.0,1.5,0.0,0.0,0.0
court,1.62,0.0,1.58,2.25,0.0,1.5
creator,0.0,0.0,0.0,1.5,0.0,0.0
crosshairs,0.0,1.5,0.0,0.0,0.0,0.0
crunch,0.0,0.0,0.0,0.0,0.0,1.5
cryptocurrency,1.75,2.12,1.73,0.0,0.0,2.5
currency,0.0,0.0,1.65,0.0,0.0,0.0
cut,0.0,0.0,1.65,0.0,0.0,1.5
deal,0.0,1.5,1.5,0.0,1.67,0.0
debut,0.0,0.0,0.0,0.0,0.0,1.53
defense,0.0,0.0,0.0,0.0,1.5,0.0
delay,0.0,1.5,0.0,0.0,0.0,1.64
demand,0.0,1.5,0.0,0.0,0.0,1.5
democrat,0.0,1.58,0.0,0.0,0.0,0.0
department,0.0,1.58,0.0,1.62,0.0,0.0
design,0.0,0.0,0.0,0.0,0.0,1.5
detail,0.0,1.58,0.0,0.0,0.0,1.5
developer,0.0,0.0,1.58,1.5,0.0,1.53
device,0.0,0.0,1.5,0.0,0.0,0.0
dispute,1.5,0.0,0.0,1.5,0.0,0.0
doc,0.0,0.0,1.5,0.0,0.0,0.0
document,0.0,1.65,0.0,0.0,0.0,0.0
doj,0.0,1.73,0.0,0.0,1.67,0.0
doubt,0.0,0.0,1.5,0.0,0.0,0.0
dozen,0.0,0.0,1.5,0.0,0.0,0.0
drive,0.0,0.0,0.0,0.0,2.5,0.0
drop,0.0,0.0,0.0,0.0,1.5,0.0
dutch,0.0,0.0,0.0,1.5,0.0,0.0
ease,1.5,1.5,0.0,0.0,0.0,0.0
effort,0.0,1.5,0.0,0.0,0.0,0.0
enforcement,0.0,1.5,0.0,0.0,0.0,0.0
eu,0.0,1.58,0.0,1.5,0.0,0.0
evidence,1.5,0.0,0.0,0.0,0.0,0.0
executive,0.0,0.0,1.5,0.0,0.0,0.0
exist,0.0,0.0,1.5,0.0,0.0,0.0
expect,1.62,0.0,1.5,0.0,0.0,0.0
expert,0.0,0.0,0.0,0.0,0.0,1.5
export,0.0,0.0,0.0,1.5,0.0,1.5
express,0.0,0.0,1.58,0.0,1.67,0.0
extradition,1.75,0.0,0.0,1.5,0.0,0.0
face,0.0,1.5,0.0,0.0,0.0,0.0
fake,0.0,1.5,0.0,0.0,0.0,0.0
fall,0.0,1.5,0.0,0.0,0.0,0.0
fear,1.5,1.5,1.5,0.0,0.0,0.0
feature,0.0,0.0,1.58,0.0,0.0,1.5
fight,0.0,0.0,1.5,0.0,0.0,0.0
find,0.0,0.0,0.0,1.5,0.0,1.5
fire,0.0,1.5,0.0,0.0,0.0,0.0
flaw,0.0,0.0,0.0,0.0,0.0,1.5
focus,0.0,0.0,0.0,0.0,0.0,1.5
follow,0.0,0.0,1.5,0.0,1.5,0.0
forget,0.0,0.0,1.5,0.0,0.0,0.0
founder,0.0,0.0,1.5,0.0,0.0,0.0
fraud,0.0,0.0,1.5,1.62,0.0,0.0
frighten,0.0,0.0,1.5,0.0,0.0,0.0
ftc,0.0,1.81,0.0,0.0,0.0,0.0
fund,0.0,0.0,0.0,1.5,0.0,0.0
galaxy,0.0,0.0,0.0,0.0,0.0,1.58
game,0.0,0.0,1.58,0.0,0.0,0.0
giant,0.0,1.5,0.0,0.0,0.0,0.0
government,1.5,0.0,0.0,1.5,0.0,0.0
group,0.0,0.0,0.0,1.5,0.0,0.0
grow,0.0,1.5,0.0,0.0,0.0,0.0
halt,1.5,1.5,0.0,0.0,0.0,0.0
hate,1.5,0.0,1.58,0.0,0.0,1.5
hear,0.0,0.0,0.0,1.5,0.0,0.0
hold,0.0,1.5,0.0,0.0,0.0,0.0
house,0.0,1.73,0.0,0.0,0.0,0.0
hurt,0.0,0.0,1.5,0.0,0.0,0.0
identity,1.5,0.0,0.0,1.5,0.0,0.0
instagram,0.0,0.0,1.5,0.0,0.0,0.0
instal,0.0,0.0,1.73,0.0,0.0,1.58
installs,0.0,0.0,1.5,0.0,0.0,1.5
introduces,0.0,0.0,0.0,0.0,0.0,1.53
investigation,0.0,1.58,1.5,0.0,0.0,0.0
issue,0.0,0.0,0.0,0.0,0.0,1.55
judge,0.0,0.0,0.0,1.5,0.0,0.0
justice,0.0,1.58,0.0,0.0,0.0,0.0
keep,0.0,0.0,1.5,0.0,0.0,0.0
know,0.0,0.0,0.0,0.0,0.0,1.55
laptop,0.0,0.0,0.0,0.0,0.0,1.53
launch,1.5,0.0,0.0,0.0,0.0,1.66
lawmaker,0.0,1.65,0.0,0.0,0.0,1.5
lawsuit,0.0,0.0,0.0,1.75,0.0,0.0
lawyer,1.5,0.0,0.0,1.5,0.0,0.0
lay,0.0,0.0,1.5,0.0,0.0,0.0
line,0.0,0.0,1.5,0.0,0.0,0.0
lose,0.0,0.0,1.5,0.0,0.0,0.0
market,0.0,0.0,1.5,0.0,1.5,0.0
mate,0.0,0.0,0.0,0.0,0.0,1.5
matter,0.0,0.0,1.5,0.0,0.0,1.5
meet,0.0,1.5,0.0,0.0,0.0,0.0
minister,1.62,0.0,0.0,0.0,0.0,0.0
monitor,0.0,0.0,0.0,0.0,0.0,1.5
monopoly,0.0,0.0,1.5,0.0,0.0,0.0
move,0.0,1.58,1.73,0.0,0.0,0.0
need,0.0,0.0,0.0,0.0,0.0,1.5
network,0.0,0.0,1.58,0.0,0.0,1.53
object,0.0,1.65,0.0,0.0,0.0,0.0
office,0.0,0.0,1.5,0.0,0.0,0.0
older,0.0,0.0,0.0,0.0,0.0,1.5
oppose,0.0,1.5,0.0,0.0,0.0,0.0
others,0.0,0.0,0.0,0.0,0.0,1.5
overheat,0.0,0.0,0.0,0.0,0.0,1.5
oversight,0.0,1.58,0.0,0.0,0.0,0.0
partner,0.0,0.0,0.0,0.0,0.0,1.55
patch,0.0,0.0,0.0,0.0,0.0,1.5
patent,0.0,0.0,0.0,1.5,0.0,1.5
pay,0.0,0.0,1.5,0.0,0.0,0.0
payment,0.0,0.0,0.0,0.0,0.0,1.53
plan,1.62,1.65,1.65,0.0,0.0,1.61
pre,0.0,0.0,1.88,0.0,0.0,1.64
privacy,0.0,0.0,1.81,0.0,0.0,1.66
pro,0.0,0.0,0.0,0.0,0.0,1.5
probe,1.5,2.5,1.5,0.0,1.67,0.0
problem,0.0,0.0,0.0,1.5,0.0,1.53
product,0.0,0.0,1.5,0.0,0.0,0.0
production,1.5,0.0,1.58,0.0,0.0,0.0
program,0.0,0.0,0.0,0.0,0.0,1.5
project,0.0,1.58,0.0,0.0,0.0,1.5
protects,0.0,0.0,0.0,0.0,0.0,1.5
put,0.0,1.58,1.5,0.0,0.0,0.0
rattle,0.0,1.5,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.0,0.0,0.0,1.55
regulation,0.0,1.5,0.0,0.0,0.0,0.0
regulator,1.5,2.04,1.65,0.0,0.0,1.53
reject,0.0,0.0,1.5,0.0,0.0,0.0
report,0.0,0.0,1.58,0.0,0.0,1.5
require,0.0,1.5,0.0,0.0,0.0,0.0
research,1.5,0.0,0.0,1.5,0.0,0.0
restaurant,0.0,0.0,1.5,0.0,0.0,1.5
retirement,0.0,0.0,0.0,1.5,0.0,0.0
revenue,1.62,0.0,1.58,0.0,0.0,0.0
review,0.0,1.65,0.0,0.0,0.0,0.0
risk,0.0,1.5,1.65,0.0,0.0,1.61
rule,0.0,1.58,1.65,1.5,0.0,1.5
russia,1.5,0.0,0.0,0.0,0.0,0.0
sale,0.0,1.5,0.0,0.0,0.0,0.0
sanction,1.5,0.0,1.5,0.0,0.0,0.0
scrutiny,0.0,1.5,0.0,0.0,0.0,0.0
secret,0.0,0.0,0.0,1.5,0.0,0.0
security,0.0,1.5,1.65,0.0,0.0,1.61
seek,0.0,1.5,0.0,0.0,0.0,0.0
senator,0.0,1.58,0.0,0.0,0.0,0.0
service,0.0,0.0,1.65,0.0,0.0,1.5
share,0.0,0.0,1.58,0.0,1.5,1.5
ship,0.0,0.0,0.0,0.0,0.0,1.5
shipment,0.0,0.0,0.0,0.0,1.5,0.0
shut,0.0,0.0,1.5,0.0,0.0,0.0
shuts,0.0,0.0,1.5,0.0,0.0,0.0
site,0.0,0.0,1.5,0.0,0.0,0.0
slack,0.0,0.0,1.5,0.0,0.0,0.0
source,0.0,1.58,1.5,0.0,1.5,0.0
speech,1.5,0.0,1.58,0.0,0.0,1.5
spread,0.0,0.0,1.5,0.0,0.0,0.0
startup,0.0,0.0,0.0,0.0,1.5,0.0
stop,0.0,0.0,1.5,0.0,0.0,0.0
store,0.0,0.0,0.0,1.5,0.0,0.0
submission,0.0,1.65,0.0,0.0,0.0,0.0
sue,0.0,0.0,0.0,2.5,0.0,0.0
suspect,0.0,0.0,1.5,0.0,0.0,1.5
suspends,0.0,0.0,1.5,0.0,0.0,1.5
system,0.0,0.0,1.58,0.0,0.0,0.0
talk,1.5,1.5,1.58,0.0,1.5,0.0
target,1.5,0.0,1.5,0.0,0.0,0.0
tariff,0.0,1.5,0.0,0.0,1.67,0.0
tech,1.5,1.81,0.0,0.0,0.0,0.0
tool,0.0,0.0,1.5,0.0,0.0,1.55
trade,2.12,1.5,1.58,1.5,0.0,1.5
trademark,0.0,0.0,0.0,0.0,0.0,1.5
troll,0.0,0.0,1.5,0.0,0.0,0.0
trump,1.75,1.5,0.0,0.0,0.0,0.0
trust,0.0,0.0,0.0,0.0,0.0,1.5
trustbuster,0.0,1.5,0.0,0.0,0.0,0.0
uber,0.0,0.0,0.0,0.0,0.0,1.53
unveils,0.0,0.0,0.0,0.0,0.0,1.5
update,0.0,0.0,1.5,0.0,0.0,1.5
venture,0.0,0.0,1.58,0.0,0.0,0.0
vulnerability,0.0,0.0,0.0,0.0,0.0,1.53
wallet,0.0,0.0,0.0,0.0,0.0,1.5
want,0.0,1.73,1.65,0.0,0.0,1.5
war,1.5,0.0,0.0,0.0,0.0,0.0
warn,1.75,0.0,0.0,0.0,0.0,0.0
watchdog,0.0,1.58,0.0,0.0,0.0,1.5
weigh,0.0,0.0,1.5,0.0,0.0,0.0
whitman,0.0,0.0,1.5,0.0,0.0,0.0
world,0.0,0.0,0.0,0.0,0.0,1.5
zuckerberg,0.0,0.0,1.5,0.0,0.0,0.0
