Words,Category,Topic,Month
report,시장,Topic 0,6
market,시장,Topic 0,6
share,시장,Topic 0,6
launch,시장,Topic 0,6
service,시장,Topic 0,6
acquire,시장,Topic 0,6
technology,시장,Topic 0,6
focus,시장,Topic 0,6
lead,시장,Topic 0,6
project,시장,Topic 0,6
base,시장,Topic 0,6
world,시장,Topic 0,6
continue,시장,Topic 0,6
plan,시장,Topic 0,6
result,시장,Topic 0,6
contract,시장,Topic 1,6
product,시장,Topic 1,6
price,시장,Topic 1,6
market,시장,Topic 1,6
customer,시장,Topic 1,6
deal,시장,Topic 1,6
statement,시장,Topic 1,6
service,시장,Topic 1,6
state,시장,Topic 1,6
technology,시장,Topic 1,6
expect,시장,Topic 1,6
trade,시장,Topic 1,6
maker,시장,Topic 1,6
result,시장,Topic 1,6
tech,시장,Topic 1,6
blockchain,제품/기술/서비스,Topic 0,6
cryptocurrency,제품/기술/서비스,Topic 0,6
currency,제품/기술/서비스,Topic 0,6
money,제품/기술/서비스,Topic 0,6
payment,제품/기술/서비스,Topic 0,6
bank,제품/기술/서비스,Topic 0,6
association,제품/기술/서비스,Topic 0,6
project,제품/기술/서비스,Topic 0,6
transaction,제품/기술/서비스,Topic 0,6
world,제품/기술/서비스,Topic 0,6
service,제품/기술/서비스,Topic 0,6
wallet,제품/기술/서비스,Topic 0,6
bitcoin,제품/기술/서비스,Topic 0,6
network,제품/기술/서비스,Topic 0,6
member,제품/기술/서비스,Topic 0,6
service,제품/기술/서비스,Topic 1,6
developer,제품/기술/서비스,Topic 1,6
security,제품/기술/서비스,Topic 1,6
device,제품/기술/서비스,Topic 1,6
privacy,제품/기술/서비스,Topic 1,6
report,제품/기술/서비스,Topic 1,6
information,제품/기술/서비스,Topic 1,6
offer,제품/기술/서비스,Topic 1,6
product,제품/기술/서비스,Topic 1,6
ban,제품/기술/서비스,Topic 1,6
address,제품/기술/서비스,Topic 1,6
launch,제품/기술/서비스,Topic 1,6
customer,제품/기술/서비스,Topic 1,6
option,제품/기술/서비스,Topic 1,6
feature,제품/기술/서비스,Topic 1,6
government,법/분쟁/소송,Topic 0,6
technology,법/분쟁/소송,Topic 0,6
law,법/분쟁/소송,Topic 0,6
security,법/분쟁/소송,Topic 0,6
china,법/분쟁/소송,Topic 0,6
department,법/분쟁/소송,Topic 0,6
state,법/분쟁/소송,Topic 0,6
agency,법/분쟁/소송,Topic 0,6
trade,법/분쟁/소송,Topic 0,6
statement,법/분쟁/소송,Topic 0,6
lawsuit,법/분쟁/소송,Topic 0,6
issue,법/분쟁/소송,Topic 0,6
claim,법/분쟁/소송,Topic 0,6
network,법/분쟁/소송,Topic 0,6
question,법/분쟁/소송,Topic 0,6
court,법/분쟁/소송,Topic 1,6
case,법/분쟁/소송,Topic 1,6
lawsuit,법/분쟁/소송,Topic 1,6
law,법/분쟁/소송,Topic 1,6
judge,법/분쟁/소송,Topic 1,6
order,법/분쟁/소송,Topic 1,6
complaint,법/분쟁/소송,Topic 1,6
rule,법/분쟁/소송,Topic 1,6
lawyer,법/분쟁/소송,Topic 1,6
state,법/분쟁/소송,Topic 1,6
issue,법/분쟁/소송,Topic 1,6
information,법/분쟁/소송,Topic 1,6
sue,법/분쟁/소송,Topic 1,6
question,법/분쟁/소송,Topic 1,6
right,법/분쟁/소송,Topic 1,6
china,국제,Topic 0,6
technology,국제,Topic 0,6
minister,국제,Topic 0,6
trade,국제,Topic 0,6
state,국제,Topic 0,6
network,국제,Topic 0,6
trump,국제,Topic 0,6
ban,국제,Topic 0,6
security,국제,Topic 0,6
report,국제,Topic 0,6
president,국제,Topic 0,6
country,국제,Topic 0,6
expect,국제,Topic 0,6
launch,국제,Topic 0,6
equipment,국제,Topic 0,6
government,국제,Topic 1,6
technology,국제,Topic 1,6
bank,국제,Topic 1,6
information,국제,Topic 1,6
comment,국제,Topic 1,6
group,국제,Topic 1,6
question,국제,Topic 1,6
law,국제,Topic 1,6
world,국제,Topic 1,6
security,국제,Topic 1,6
report,국제,Topic 1,6
trade,국제,Topic 1,6
base,국제,Topic 1,6
service,국제,Topic 1,6
threat,국제,Topic 1,6
bank,규제/규제기관,Topic 0,6
regulator,규제/규제기관,Topic 0,6
plan,규제/규제기관,Topic 0,6
privacy,규제/규제기관,Topic 0,6
cryptocurrency,규제/규제기관,Topic 0,6
project,규제/규제기관,Topic 0,6
service,규제/규제기관,Topic 0,6
committee,규제/규제기관,Topic 0,6
money,규제/규제기관,Topic 0,6
group,규제/규제기관,Topic 0,6
regulation,규제/규제기관,Topic 0,6
payment,규제/규제기관,Topic 0,6
currency,규제/규제기관,Topic 0,6
market,규제/규제기관,Topic 0,6
finance,규제/규제기관,Topic 0,6
investigation,규제/규제기관,Topic 1,6
department,규제/규제기관,Topic 1,6
justice,규제/규제기관,Topic 1,6
report,규제/규제기관,Topic 1,6
law,규제/규제기관,Topic 1,6
trade,규제/규제기관,Topic 1,6
commission,규제/규제기관,Topic 1,6
ftc,규제/규제기관,Topic 1,6
market,규제/규제기관,Topic 1,6
technology,규제/규제기관,Topic 1,6
government,규제/규제기관,Topic 1,6
product,규제/규제기관,Topic 1,6
china,규제/규제기관,Topic 1,6
tech,규제/규제기관,Topic 1,6
concern,규제/규제기관,Topic 1,6
ban,기업,Topic 0,6
china,기업,Topic 0,6
technology,기업,Topic 0,6
government,기업,Topic 0,6
report,기업,Topic 0,6
security,기업,Topic 0,6
world,기업,Topic 0,6
network,기업,Topic 0,6
market,기업,Topic 0,6
smartphone,기업,Topic 0,6
research,기업,Topic 0,6
device,기업,Topic 0,6
chip,기업,Topic 0,6
trade,기업,Topic 0,6
comment,기업,Topic 0,6
service,기업,Topic 1,6
target,기업,Topic 1,6
privacy,기업,Topic 1,6
developer,기업,Topic 1,6
product,기업,Topic 1,6
control,기업,Topic 1,6
offer,기업,Topic 1,6
customer,기업,Topic 1,6
feature,기업,Topic 1,6
share,기업,Topic 1,6
store,기업,Topic 1,6
consumer,기업,Topic 1,6
platform,기업,Topic 1,6
option,기업,Topic 1,6
report,기업,Topic 1,6
consumer,규제/규제기관,Topic 0,7
market,규제/규제기관,Topic 0,7
court,규제/규제기관,Topic 0,7
product,규제/규제기관,Topic 0,7
competition,규제/규제기관,Topic 0,7
case,규제/규제기관,Topic 0,7
tech,규제/규제기관,Topic 0,7
service,규제/규제기관,Topic 0,7
rule,규제/규제기관,Topic 0,7
regulator,규제/규제기관,Topic 0,7
law,규제/규제기관,Topic 0,7
technology,규제/규제기관,Topic 0,7
network,규제/규제기관,Topic 0,7
country,규제/규제기관,Topic 0,7
giant,규제/규제기관,Topic 0,7
report,규제/규제기관,Topic 1,7
security,규제/규제기관,Topic 1,7
trump,규제/규제기관,Topic 1,7
law,규제/규제기관,Topic 1,7
state,규제/규제기관,Topic 1,7
group,규제/규제기관,Topic 1,7
government,규제/규제기관,Topic 1,7
platform,규제/규제기관,Topic 1,7
information,규제/규제기관,Topic 1,7
president,규제/규제기관,Topic 1,7
problem,규제/규제기관,Topic 1,7
content,규제/규제기관,Topic 1,7
ban,규제/규제기관,Topic 1,7
speech,규제/규제기관,Topic 1,7
world,규제/규제기관,Topic 1,7
report,기업,Topic 0,7
share,기업,Topic 0,7
platform,기업,Topic 0,7
group,기업,Topic 0,7
policy,기업,Topic 0,7
right,기업,Topic 0,7
issue,기업,Topic 0,7
service,기업,Topic 0,7
quarter,기업,Topic 0,7
market,기업,Topic 0,7
location,기업,Topic 0,7
office,기업,Topic 0,7
analyst,기업,Topic 0,7
content,기업,Topic 0,7
revenue,기업,Topic 0,7
product,기업,Topic 1,7
service,기업,Topic 1,7
line,기업,Topic 1,7
plan,기업,Topic 1,7
china,기업,Topic 1,7
thing,기업,Topic 1,7
report,기업,Topic 1,7
production,기업,Topic 1,7
world,기업,Topic 1,7
country,기업,Topic 1,7
build,기업,Topic 1,7
design,기업,Topic 1,7
stream,기업,Topic 1,7
project,기업,Topic 1,7
technology,기업,Topic 1,7
report,법/분쟁/소송,Topic 0,7
report,법/분쟁/소송,Topic 1,7
security,국제,Topic 0,7
trump,국제,Topic 0,7
china,국제,Topic 0,7
trade,국제,Topic 0,7
president,국제,Topic 0,7
state,국제,Topic 0,7
equipment,국제,Topic 0,7
government,국제,Topic 0,7
threat,국제,Topic 0,7
world,국제,Topic 0,7
report,국제,Topic 0,7
report,국제,Topic 1,7
state,국제,Topic 1,7
government,국제,Topic 1,7
world,국제,Topic 1,7
president,국제,Topic 1,7
threat,국제,Topic 1,7
equipment,국제,Topic 1,7
trade,국제,Topic 1,7
china,국제,Topic 1,7
security,국제,Topic 1,7
trump,국제,Topic 1,7
service,제품/기술/서비스,Topic 0,7
network,제품/기술/서비스,Topic 0,7
cryptocurrency,제품/기술/서비스,Topic 0,7
report,제품/기술/서비스,Topic 0,7
device,제품/기술/서비스,Topic 0,7
state,제품/기술/서비스,Topic 0,7
security,제품/기술/서비스,Topic 0,7
bank,제품/기술/서비스,Topic 0,7
privacy,제품/기술/서비스,Topic 0,7
blockchain,제품/기술/서비스,Topic 0,7
issue,제품/기술/서비스,Topic 0,7
technology,제품/기술/서비스,Topic 0,7
bitcoin,제품/기술/서비스,Topic 0,7
store,제품/기술/서비스,Topic 0,7
money,제품/기술/서비스,Topic 0,7
service,제품/기술/서비스,Topic 1,7
technology,제품/기술/서비스,Topic 1,7
think,제품/기술/서비스,Topic 1,7
game,제품/기술/서비스,Topic 1,7
know,제품/기술/서비스,Topic 1,7
feature,제품/기술/서비스,Topic 1,7
report,제품/기술/서비스,Topic 1,7
thing,제품/기술/서비스,Topic 1,7
product,제품/기술/서비스,Topic 1,7
line,제품/기술/서비스,Topic 1,7
computer,제품/기술/서비스,Topic 1,7
source,제품/기술/서비스,Topic 1,7
internet,제품/기술/서비스,Topic 1,7
launch,제품/기술/서비스,Topic 1,7
design,제품/기술/서비스,Topic 1,7
group,기업,Topic 0,8
product,기업,Topic 0,8
service,기업,Topic 0,8
price,기업,Topic 0,8
customer,기업,Topic 0,8
trade,기업,Topic 0,8
software,기업,Topic 0,8
market,기업,Topic 0,8
technology,기업,Topic 0,8
buy,기업,Topic 0,8
review,기업,Topic 0,8
platform,기업,Topic 0,8
deal,기업,Topic 0,8
report,기업,Topic 0,8
consumer,기업,Topic 0,8
report,기업,Topic 1,8
device,기업,Topic 1,8
search,기업,Topic 1,8
security,기업,Topic 1,8
note,기업,Topic 1,8
information,기업,Topic 1,8
share,기업,Topic 1,8
feature,기업,Topic 1,8
statement,기업,Topic 1,8
customer,기업,Topic 1,8
image,기업,Topic 1,8
network,기업,Topic 1,8
change,기업,Topic 1,8
release,기업,Topic 1,8
appear,기업,Topic 1,8
privacy,제품/기술/서비스,Topic 0,8
network,제품/기술/서비스,Topic 0,8
service,제품/기술/서비스,Topic 0,8
note,제품/기술/서비스,Topic 0,8
information,제품/기술/서비스,Topic 0,8
device,제품/기술/서비스,Topic 0,8
technology,제품/기술/서비스,Topic 0,8
home,제품/기술/서비스,Topic 0,8
galaxy,제품/기술/서비스,Topic 0,8
design,제품/기술/서비스,Topic 0,8
thing,제품/기술/서비스,Topic 0,8
customer,제품/기술/서비스,Topic 0,8
software,제품/기술/서비스,Topic 0,8
base,제품/기술/서비스,Topic 0,8
share,제품/기술/서비스,Topic 0,8
security,제품/기술/서비스,Topic 1,8
researcher,제품/기술/서비스,Topic 1,8
attack,제품/기술/서비스,Topic 1,8
device,제품/기술/서비스,Topic 1,8
group,제품/기술/서비스,Topic 1,8
service,제품/기술/서비스,Topic 1,8
program,제품/기술/서비스,Topic 1,8
tool,제품/기술/서비스,Topic 1,8
research,제품/기술/서비스,Topic 1,8
platform,제품/기술/서비스,Topic 1,8
report,제품/기술/서비스,Topic 1,8
product,제품/기술/서비스,Topic 1,8
network,제품/기술/서비스,Topic 1,8
target,제품/기술/서비스,Topic 1,8
issue,제품/기술/서비스,Topic 1,8
privacy,규제/규제기관,Topic 0,8
security,규제/규제기관,Topic 0,8
investigation,규제/규제기관,Topic 0,8
information,규제/규제기관,Topic 0,8
report,규제/규제기관,Topic 0,8
law,규제/규제기관,Topic 0,8
comment,규제/규제기관,Topic 0,8
issue,규제/규제기관,Topic 0,8
service,규제/규제기관,Topic 0,8
trade,규제/규제기관,Topic 0,8
technology,규제/규제기관,Topic 0,8
statement,규제/규제기관,Topic 0,8
respond,규제/규제기관,Topic 0,8
tech,규제/규제기관,Topic 0,8
commission,규제/규제기관,Topic 0,8
trump,규제/규제기관,Topic 1,8
complaint,규제/규제기관,Topic 1,8
house,규제/규제기관,Topic 1,8
platform,규제/규제기관,Topic 1,8
president,규제/규제기관,Topic 1,8
technology,규제/규제기관,Topic 1,8
report,규제/규제기관,Topic 1,8
order,규제/규제기관,Topic 1,8
policy,규제/규제기관,Topic 1,8
tech,규제/규제기관,Topic 1,8
remove,규제/규제기관,Topic 1,8
administration,규제/규제기관,Topic 1,8
statement,규제/규제기관,Topic 1,8
online,규제/규제기관,Topic 1,8
commission,규제/규제기관,Topic 1,8
privacy,규제/규제기관,Topic 0,08
security,규제/규제기관,Topic 0,08
investigation,규제/규제기관,Topic 0,08
information,규제/규제기관,Topic 0,08
report,규제/규제기관,Topic 0,08
law,규제/규제기관,Topic 0,08
comment,규제/규제기관,Topic 0,08
issue,규제/규제기관,Topic 0,08
service,규제/규제기관,Topic 0,08
trade,규제/규제기관,Topic 0,08
technology,규제/규제기관,Topic 0,08
statement,규제/규제기관,Topic 0,08
respond,규제/규제기관,Topic 0,08
tech,규제/규제기관,Topic 0,08
commission,규제/규제기관,Topic 0,08
trump,규제/규제기관,Topic 1,08
complaint,규제/규제기관,Topic 1,08
house,규제/규제기관,Topic 1,08
platform,규제/규제기관,Topic 1,08
president,규제/규제기관,Topic 1,08
technology,규제/규제기관,Topic 1,08
report,규제/규제기관,Topic 1,08
order,규제/규제기관,Topic 1,08
policy,규제/규제기관,Topic 1,08
tech,규제/규제기관,Topic 1,08
remove,규제/규제기관,Topic 1,08
administration,규제/규제기관,Topic 1,08
statement,규제/규제기관,Topic 1,08
online,규제/규제기관,Topic 1,08
commission,규제/규제기관,Topic 1,08
group,기업,Topic 0,08
product,기업,Topic 0,08
service,기업,Topic 0,08
price,기업,Topic 0,08
customer,기업,Topic 0,08
trade,기업,Topic 0,08
software,기업,Topic 0,08
market,기업,Topic 0,08
technology,기업,Topic 0,08
buy,기업,Topic 0,08
review,기업,Topic 0,08
platform,기업,Topic 0,08
deal,기업,Topic 0,08
report,기업,Topic 0,08
consumer,기업,Topic 0,08
report,기업,Topic 1,08
device,기업,Topic 1,08
search,기업,Topic 1,08
security,기업,Topic 1,08
note,기업,Topic 1,08
information,기업,Topic 1,08
share,기업,Topic 1,08
feature,기업,Topic 1,08
statement,기업,Topic 1,08
customer,기업,Topic 1,08
image,기업,Topic 1,08
network,기업,Topic 1,08
change,기업,Topic 1,08
release,기업,Topic 1,08
appear,기업,Topic 1,08
privacy,제품/기술/서비스,Topic 0,08
network,제품/기술/서비스,Topic 0,08
service,제품/기술/서비스,Topic 0,08
note,제품/기술/서비스,Topic 0,08
information,제품/기술/서비스,Topic 0,08
device,제품/기술/서비스,Topic 0,08
technology,제품/기술/서비스,Topic 0,08
home,제품/기술/서비스,Topic 0,08
galaxy,제품/기술/서비스,Topic 0,08
design,제품/기술/서비스,Topic 0,08
thing,제품/기술/서비스,Topic 0,08
customer,제품/기술/서비스,Topic 0,08
software,제품/기술/서비스,Topic 0,08
base,제품/기술/서비스,Topic 0,08
share,제품/기술/서비스,Topic 0,08
security,제품/기술/서비스,Topic 1,08
researcher,제품/기술/서비스,Topic 1,08
attack,제품/기술/서비스,Topic 1,08
device,제품/기술/서비스,Topic 1,08
group,제품/기술/서비스,Topic 1,08
service,제품/기술/서비스,Topic 1,08
program,제품/기술/서비스,Topic 1,08
tool,제품/기술/서비스,Topic 1,08
research,제품/기술/서비스,Topic 1,08
platform,제품/기술/서비스,Topic 1,08
report,제품/기술/서비스,Topic 1,08
product,제품/기술/서비스,Topic 1,08
network,제품/기술/서비스,Topic 1,08
target,제품/기술/서비스,Topic 1,08
issue,제품/기술/서비스,Topic 1,08
